"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","64139","additional 100kva gurjar chatrawas timarni","2026-03-19","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","243113","Additional DTR at gaon wala near 100 kva Jijgaon","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","64130","additional 100kva idgah timarni","2026-03-19","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","201031","ADDITIONAL 100KVA JUGAL WALA POKHARNI","2025-06-02","2025-06-06","2025-12-05","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","253054","100 KVA ANOKHI WALA NAJARPURA ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","253978","100 KVA UMARDHA GAON WALA ADD.","2025-09-06","2025-09-07",NULL,"2026-03-12",NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","200949","ADDITIONAL 100KVA HARI WALA MANIYAKHEDI","2025-06-02","2025-06-06","2025-12-06","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","278703","100 KVA GAON WALA NIMYAGAON PUMP ADD.","2026-03-19","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68594","additional piplya gaon wala","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","243020","Additional DTR at near deendayal kotwar ke pass ba","2026-03-19","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","278750","100 KVA NANDA PATEL WALA TEMAGAON ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","256471","100 KVA DAJI WALA NANDWA ADDITIONAL","2026-03-19","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68818","ADDITIONAL 100KVA PULIYA WALA SAMRDHA","2025-06-02","2025-06-06","2025-12-06","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","243119","Additional DTR at near nahar ke pass Jijgaon","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","242692","Additional DTR at near panchayat bhavan kelanpur","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","242580","Additional DTR at Pani ki tanki ke pass choti sukh","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68592","additional bus stand chhidgaon","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","64119","additional 200kva bus stand 2","2025-07-15","2025-07-15","2025-11-04","2025-09-24","2025-11-04","2025-11-04"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","64117","additional 200kva bus stand 1","2025-07-15","2025-07-15","2025-11-04","2025-09-24","2025-11-04","2025-11-04"
